author,binding,category,depth,height,isbn10,isbn13,language,noOfPages,price,publisher,publisherDate,returnable,subTitle,title,url,weight,width
 Marcus Aurelius, Paperback,"Home::History & Humanities::Philosophy::History of western philosophy::Western philosophy: ancient, to c 500",, 0 mm, 8175994754, 9788175994751, English, 228 ,₹119, Fingerprint Publishing, 10 August 2017, Y,,Meditations,https://www.bookswagon.com/book/meditations-marcus-aurelius/9788175994751, 136 gr, 196 mm
J. R. R. Tolkien, Mixed media product,Home::Fiction::Classic fiction,, 139 mm, 0008387753, 9780008387754,, 1600,"₹1,427", HarperCollins Publishers, 30 Apr 2020,,,The Hobbit & The Lord of the Rings Boxed Set,https://www.bookswagon.com/book/hobbit-lord-rings-boxed-set/9780008387754, 1180 gr, 210 mm
Wonder House Books, Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Interactive & activity books & packs::Colouring & painting activity books",, 1.0 mm, 9390183545, 9789390183548, English, 96,₹207, Wonder House Books, 12 Aug 2020, Y, Fun Activity Colouring Book for Children,101 Unicorn Colouring Book: Fun Activity Colouring Book For Children,https://www.bookswagon.com/book/101-unicorn-colouring-book-wonder/9789390183548, 294 gr, 27.6 mm
Wonder House Books, Paperback,Home::General,, 0.9 mm, 9389717264, 9789389717266, English, 192,₹89, Wonder House Books, 05 Feb 2020,,,Word Search - Knowledge Power: Classic Word Puzzles For Everyone,https://www.bookswagon.com/book/word-search-knowledge-power-wonder/9789389717266, 110 gr, 13.8 mm
Brain Tracy, Paperback,Home::Business & Economics,,, 1404108734, 9781404108738, English, 240,₹259, HarperCollins Leadership, 14 Dec 2021,,,The Psychology of Selling : Increase Your Sales Faster and Easier Than You Ever Thought Possible,https://www.bookswagon.com/book/psychology-selling-brain-tracy/9781404108738,, 137 mm
Saranya Umakanthan, Paperback,Home::Fiction::Romance,, 197 mm, 9354400701, 9789354400704, English, 248,₹119, Fingerprint! Publishing, 08 Apr 2022,,,Your Time Will Come,https://www.bookswagon.com/book/your-time-come-saranya-umakanthan/9789354400704,, 13 mm
J Sai Deepak, HARDCOVER,Home::General,, 47 mm, 9354352499, 9789354352492, ENGLISH, 484,₹575,, 17-8-21,,,"India that is Bharat: Coloniality, Civilisation, Constitution",https://www.bookswagon.com/book/india-that-bharat-j-sai/9789354352492, 110 gr, 254 mm
Charlie Mackesy, HARDBACK,Home::Fiction::Graphic novels,, 172 mm, 1529105102, 9781529105100,, 128,₹689,, 10 Oct 2019,,,"The Boy, The Mole, The Fox and The Horse",https://www.bookswagon.com/book/boy-mole-fox-horse-charlie/9781529105100, 544 gr, 223 mm
Anonymous, Hardcover,Home::General,, 0.0 mm, 9389432707, 9789389432701, English, 424,₹269, Prakash, 01 Nov 2019,,,Bhagavad Gita,https://www.bookswagon.com/book/bhagavad-gita-anonymous/9789389432701, 294 gr, 0.0 mm
Napoleon Hill , Paperback,Home::General,, 1.6 mm, 9389931525, 9789389931525, English, 320,₹119, Fingerprint! Publishing, 01 Mar 2020,,,Think & Grow Rich: THE 21st CENTURY EDITION,https://www.bookswagon.com/book/think-grow-rich-napoleon-hill/9789389931525, 400 gr, 14.0 mm
Wonder House Books, PAPERBACK,"Home::Children & Teens::Children’s & young adult reference material::Dictionaries, school dictionaries (children’s/ya)",, 0.8 mm, 9388144112, 9789388144117, ENGLISH, 96,₹239,, 05 Sep 2018, Y," Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite Words, Action Words,","My First 1000 Words: Early Learning Picture Book to learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite Words, Action Words, Parts of the body and Objects Around Us.",https://www.bookswagon.com/book/my-first-1000-words-wonder/9789388144117, 340 gr, 21.0 mm
Martin Häussermann, Hardback,"Home::Lifestyle::Antiques & collectables::Antique clocks, watches, musical boxes & automata",, 312 mm, 0764364537, 9780764364532, English, 120,"₹2,175", Schiffer Publishing Ltd, 28 Sep 2022, Y, Special-Edition Wristwatches,Rolex,https://www.bookswagon.com/book/rolex-h%C3%A4ussermann-peter-braun-haussermann/9780764364532, 1187 gr, 237 mm
A C Bhaktivedanta Swami Prabhupada, Hardcover,Home::General,,, 9384564192, 9789384564193, English,,₹521, BBT, 2015,,,Bhagavad Gita As It Is(English 2015 Edition) (English),https://www.bookswagon.com/book/bhagavad-gita-as-it-isenglish/9789384564193,,
"Roger Fritz; Edited by Arthur R. Pell, Ph.D.", PAPERBACK,Home::General,, 0.8 mm, 9389432642, 9789389432640, ENGLISH, 112,₹89,, 01 Sep 2019,,,The Power of A Positive Attitude: Your Road To Success,https://www.bookswagon.com/book/power-positive-attitude-roger-fritz/9789389432640, 120 gr, 12.6 mm
 Charles Darwin, PAPERBACK,Home::General,,, 8172344880, 9788172344887, ENGLISH, 500,₹269, Prakash Books India Pvt. Ltd., 05 Dec. 2013, Y, Deluxe Hardbound Edition,The Origin of Species,https://www.bookswagon.com/book/origin-species-charles-darwin/9788172344887, 700 gr,
 Ruskin Bond, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya),, 196 mm, 0143451936, 9780143451938, English, 232,₹205, Puffin, 21 May 2021, Y," Classic Collection of 25+ Most-Loved, Great Stories by Famous Award-Winning Author (Illustrated, Must-Read Fiction Short Stories for Kids)",All-Time Favourites for Children,https://www.bookswagon.com/book/alltime-favourites-children-bond-ruskin/9780143451938, 272 gr, 130 mm
Emily Brontë, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::General fiction (children’s/ya),, 200 mm, 9354401570, 9789354401572, English, 1264,₹620, Fingerprint! Publishing, 01 Feb 2021, Y, Set of 4 Books,World's Greatest Classics (Box Set of 4 Books),https://www.bookswagon.com/book/worlds-greatest-classics-box-set/9789354401572,, 102 mm
Ruchi,,Home::General,,, 818930142X, 9788189301422, English, 888,₹518, Danika Publishing Co,,,,UGC Home Science,https://www.bookswagon.com/book/ugc-home-science-ruchi/9788189301422,,
"Singhania, Nitin", Paperback,Home::General,, 47 mm, 9354601804, 9789354601804, English, 632,₹685, McGraw Hill, 31 Dec 2021,,,Indian Art and Culture for Civil Services and other Competitive Examinations | 4th Edition,https://www.bookswagon.com/book/indian-art-culture-civil-services/9789354601804,, 254 mm
NA, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development::Advice on careers & achieving success",, 197 mm, 0143459686, 9780143459682, English, 224,₹205, Penguin eBury Press, 02 Oct 2014, Y, Things You Wish You Were Taught in School,"Build, Don't Talk",https://www.bookswagon.com/book/build-dont-talk-na-raj/9780143459682, 100 gr, 127 mm
Geronimo Stilton, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya)::Thrillers (children’s/ya), 13, 194 mm, 0545103746, 9780545103749, English, 128,₹231, Scholastic Paperbacks, 01 Jul 2011, Y,,The Haunted Castle (Geronimo Stilton #46),https://www.bookswagon.com/book/haunted-castle-geronimo-stilton-46/9780545103749, 154 gr, 133 mm
Wonder House Books, Board book,Home::General,,, 9354404006, 9789354404009, English, 10,₹77, Wonder House Books, 15 Dec 2021,,,"MyÂ FirstÂ ShapedÂ BoardÂ bookÂ - Elephant, Die-Cut Animals, Picture Book for Children",https://www.bookswagon.com/book/my%C3%A2first%C3%A2shaped%C3%A2board%C3%A2book%C3%A2-elephant-diecut-animals-picture/9789354404009,, 165 mm
"Changle, Stuti", Paperback,Home::General,, 39.99992 mm, 0143453580, 9780143453581, English, 240,₹205, Penguin eBury Press, 31 Jan 2021,,,You Only Live Once: One for Passion Two for Love Three for Friendship,https://www.bookswagon.com/book/you-only-live-once-changle/9780143453581,, 139.99972 mm
"Laxmikanth, M", Paperback,Home::General,, 40 mm, 9354600514, 9789354600517, Hindi, 736,₹725, McGraw Hill, 29 Sep 2021,,,Bharat Ki Rajvyavastha( Indian Polity) - Civil Seva Evam Anya Rajya Parikshao Hetu |6th Revised Edition,https://www.bookswagon.com/book/bharat-ki-rajvyavastha-indian-polity/9789354600517,, 140 mm
Ernest Hemingway , Paperback,Home::Fiction::Modern & contemporary fiction, 8, 178 mm, 0099908409, 9780099908401, ENGLISH, 112,₹90, Cornerstone, 04 Jan 1994, Y,,The Old Man and the Sea,https://www.bookswagon.com/book/old-man-sea-ernest-hemingway/9780099908401, 68 gr, 112 mm
"Lodha, Amit", Paperback,Home::General,, 39.99992 mm, 0143448501, 9780143448501, Hindi, 300,₹205, Penguin, 16 Dec 2020,,,Bihar Diaries,https://www.bookswagon.com/book/bihar-diaries-lodha-amit/9780143448501,, 139.99972 mm
Swami Vivekananda, Paperback,Home::General,, 46.999906 mm, 9390441137, 9789390441136, English, 144,₹105, Srishti Publishers & Distributors, 11 Feb 2021,,,Patanjali Yoga Sutras,https://www.bookswagon.com/book/patanjali-yoga-sutras-swami-vivekananda/9789390441136,, 253.999492 mm
Silvestri, Paperback,Home::General,,, 8131261581, 9788131261583, English, 1250,"₹2,817", Elsevier Health Sciences, 25 Aug 2020,,,"Saunders Comprehensive Review for the NCLEX-RN(R) Examination, Third South Asia Edition",https://www.bookswagon.com/book/saunders-comprehensive-review-nclexrnr-examination/9788131261583,,
Smita Singh, Paperback,Home::Fiction::Modern & contemporary fiction,, 201 mm, 9380349300, 9789380349305, English, 226,₹90, Srishti Publishers & Distributors, 01 Jan 2011, N,,Life is what you make it,https://www.bookswagon.com/book/life-you-make-it-smita/9789380349305, 227 gr, 127 mm
Wonder House Books, Paperback,Home::General,, 0.0 mm, 9388369475, 9789388369473, English, 8,₹29, Wonder House Books, 01 Feb 2019,,,My first picture book of Vegetables: Picture Books for Children,https://www.bookswagon.com/book/my-first-picture-book-vegetables/9789388369473, 110 gr, 18.5 mm
Durjoy Datta, Paperback,Home::Fiction::Fantasy,, 196 mm, 0143421573, 9780143421573, English, 256,₹191, Penguin Books India Pvt Ltd, 15 Aug 2013, Y,,Till the Last Breath . . .,https://www.bookswagon.com/book/till-last-breath-durjoy-datta/9780143421573, 181 gr, 130 mm
RPH Editorial Board, Paper Back,Home::General,,, 938948037X, 9789389480375, English, 392,₹192, Ramesh Publishing House,,,,Department of Posts: Postman/Mail Guard/Multi Tasking Staff (MTS)/Postal & Sorting Assistant Recruitment Exam Guide,https://www.bookswagon.com/book/department-posts-rph-editorial-board/9789389480375,,
Emily Brontë, Hardcover,Home::General,, 2.5 mm, 8194898889, 9788194898887, English, 408,₹425, Fingerprint! Publishing, 01 Nov 2020, Y,,Wuthering Heights (Deluxe Hardbound Edition),https://www.bookswagon.com/book/wuthering-heights-deluxe-hardbound-edition/9788194898887, 557 gr, 21.6 mm
Archana Sreenivasan, Paperback,Home::Fiction::Fiction: special features::Short stories,, 198 mm, 8129119846, 9788129119841, English, 90,₹90, Rupa & Co, 01 Jan 2012, N,,Angry River,https://www.bookswagon.com/book/angry-river-archana-sreenivasan-ruskin/9788129119841, 95 gr, 129 mm
Wonder House Books, Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Interactive & activity books & packs::Colouring & painting activity books",, 0.8 mm, 9390183588, 9789390183586, English, 32,₹119, Wonder House Books, 12 Aug 2020, Y, Jumbo Sized Colouring Book for Children,I Am Born To Be A Unicorn Coloring book - Giant book Series: Jumbo Sized Colouring Book For Children,https://www.bookswagon.com/book/i-am-born-unicorn-coloring/9789390183586, 700 gr, 27.6 mm
S Hussain Zaidi, Paperback,Home::Biographies & Memoirs::Biography: general,, 216 mm, 8174368949, 9788174368942, English, 410,₹337, Lotus, 01 Apr 2012, N, Six Decades of Mumbai Mafia,Dongri to Dubai,https://www.bookswagon.com/book/dongri-dubai-s-vikram-chandra/9788174368942, 516 gr, 140 mm
Fyodor Dostoevsky, Paperback,Home::Fiction::Crime & mystery,, 0 mm, 9386538059, 9789386538055, English, 584 ,₹269, Fingerprint Publishing, 10 August 2017, Y, Deluxe Hardbound Edition,Crime and Punishment,https://www.bookswagon.com/book/crime-punishment-fyodor-dostoevsky/9789386538055, 700 gr, 197 mm
Dreamland Publications, Paperback,Home::Children & Teens,, 280 mm, 9388371763, 9789388371766, English, 54,₹260, Dreamland Publications, 2020,,,Dinosaurs  Wow Encyclopedia in Augmented Reality,https://www.bookswagon.com/book/dinosaurs-wow-encyclopedia-in-augmented/9789388371766, 416 gr, 280 mm
Isha Foundation, Paperback,"Home::Lifestyle::Cookery, Food & Wine::Health & wholefood cookery",, 213 mm, 9351363783, 9789351363781, English, 218,₹194, Element, 02 May 2017, Y,,Taste of Well-Being: Sadhguru's Insights for Your Gastronomics,https://www.bookswagon.com/book/taste-wellbeing-isha-foundation/9789351363781, 249 gr, 140 mm
Au, Paperback,Home::Literature & literary studies::Poetry,, 163 mm, 0143418211, 9780143418214, English, 136,₹119, Penguin Books India Pvt Ltd, 19 Jan 2012, Y,,Selected Poems,https://www.bookswagon.com/book/selected-poems-au-pavan-k/9780143418214, 106 gr, 200 mm
Manjari Chanadra, Paperback,Home::General,, 2.0 mm, 9390183820, 9789390183821, English, 200,₹205, Fingerprint! Publishing, 01 Sep 2020,,,"Eat Up, Clean Up : Your Personal Journey To A Healthy Life",https://www.bookswagon.com/book/eat-clean-up-manjari-chanadra/9789390183821, 700 gr, 19.7 mm
Hugh D. Young , Paperback,Home::General,, 22 mm, 9353949297, 9789353949297, English, 1608,"₹1,252", Pearson Education, 01 Jan 2021,,,University Physics with Modern Physics |Fifteenth Edition| By Pearson,https://www.bookswagon.com/book/university-modern-physics-fifteenth-edition/9789353949297,, 216 mm
Chitra Banerjee Divakaruni, Paperback,Home::General,, 144 mm, 9354894151, 9789354894152, English, 380,₹293, HarperCollins India, 03 Feb 2022,,,The Last Queen,https://www.bookswagon.com/book/last-queen-banerjee-divakaruni-chitra/9789354894152, 700 gr, 214 mm
Pranay, Paperback,Home::General,, 196.999606 mm, 8194899125, 9788194899129, English, 112,₹119, Fingerprint! Publishing, 01 Feb 2021,,,Vedas & Upanishads: Greatest Spiritual Wisdom for Tough Times,https://www.bookswagon.com/book/vedas-upanishads-pranay/9788194899129,, 14.99997 mm
Yuval Noah Harari, Paperback,Home::History & Humanities::History::History: earliest times to present day::Ancient history: to c 500 ce,, 216 mm, 9388241177, 9789388241175, Hindi, 454,₹440, Manjul Publishing House, 15 Nov 2018, N,,Sapiens Manav Jati ka Sankshipt Itihas,https://www.bookswagon.com/book/sapiens-manav-jati-ka-sankshipt/9789388241175, 571 gr, 140 mm
NA, Paperback,Home::General,, 203 mm, 939044117X, 9789390441174, English, 200,₹251, Srishti Publishers & Distributors,,,,The Hero Of Tiger Hill: Autobiography Of A Param Vir,https://www.bookswagon.com/book/hero-tiger-hill-na/9789390441174, 231 gr,
Shraddha Singh, Paperback,Home::Society & social sciences::Education::Study & learning skills: general,, 246 mm, 9357940502, 9789357940504, English, 106,₹116, V&S Publishers, 20 Apr 2016, N,,International Maths Olympiad Class 1 (With OMR Sheets),https://www.bookswagon.com/book/international-maths-olympiad-class-1/9789357940504, 204 gr, 189 mm
Wonder House Books, Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts",, 1.2 mm, 9388810600, 9789388810609, English, 192,₹303, Wonder House Books, 25 Mar 2019, Y," Interactive Activity Book for Children to Practice Patterns, Numbers 1-20 and Alphabet","My Big Book Of Patterns And Pencil Control : Interactive Activity Book For Children To Practice Patterns, Numbers 1-20 And Alphabet",https://www.bookswagon.com/book/my-big-book-patterns-pencil/9789388810609, 700 gr, 21.5 mm
Frank H. Netter, Paperback,Home::Medicine::Pre-clinical medicine: basic sciences::Anatomy::Cytology,, 0 mm, 0323393217, 9780323393218,, 656 ,"₹1,529", Elsevier - Health Sciences Division, 01 Mar 2018, Y,,Atlas of Human Anatomy International Edition,https://www.bookswagon.com/book/atlas-human-anatomy-international-edition/9780323393218, 0 gr, 0 mm
Om Books Editorial Team, Paperback,Home::Children & Teens::Educational material::Educational: english language & literacy::Educational: english language: reading & writing skills,, 229 mm, 9385273744, 9789385273742, English, 34,₹75, OM KIDZ, 2016, N,,All set to Read A Phonics Reader The Cat and The Rat,https://www.bookswagon.com/book/all-set-read-a-phonics/9789385273742, 77 gr, 152 mm
Dale Carnegie, Paperback,Home::General,, 39.99992 mm, 9387944867, 9789387944862, English,,₹119, Jaico Publishing House, 21 Nov 2018,,,How to Win Friends and Influence People,https://www.bookswagon.com/book/how-win-friends-influence-people/9789387944862, 265.9999998 gr, 139.99972 mm
Neeraj Chandra Choudhary, Paperback,Home::General,,, 9384761176, 9789384761172, Hindi,,₹108, Jain Books Agency, 2015,,,Lucent'S Samanya Vigyan (General Science In Hindi),https://www.bookswagon.com/book/lucents-samanya-vigyan-general-science/9789384761172,,
Wonder House Books, Hardcover,Home::General,, 1.1 mm, 9389178134, 9789389178135, Hindi, 84,₹239, Wonder House Books, 02 Jul 2019, Y, Timeless Stories for Children from Ancient India in Hindi,Panchtantra Ki Prasiddh Kahaniyan: Timeless Stories For Children From Ancient India In Hindi,https://www.bookswagon.com/book/panchtantra-ki-prasiddh-kahaniyan-wonder/9789389178135, 700 gr, 20.9 mm
Dreamland Publications, Paper Back,Home::Children & Teens,, 220 mm, 938717798X, 9789387177987, English, 64,₹120, Dreamland Publications, 2019,,,STEM Activity Book Maths,https://www.bookswagon.com/book/stem-activity-book-maths-dreamland/9789387177987, 280 gr, 280 mm
Granville Austin, Paperback,Home::Law::Laws of specific jurisdictions::Constitutional & administrative law,, 216 mm, 0195649591, 9780195649598, English, 412,₹436, OUP India, 16 Sep 1999, Y, Cornerstone of a Nation,Indian Constitution,https://www.bookswagon.com/book/indian-constitution-granville-austin/9780195649598, 390 gr, 140 mm
Michelle Obama, Paperback,"Home::Biographies & Memoirs::Biography: general::Biography: historical, political & military::Autobiography: historical, political & military",, 198 mm, 0241982979, 9780241982976, English, 464,₹489, Penguin, 02 Mar 2021,,,Becoming,https://www.bookswagon.com/book/becoming-obama-michelle/9780241982976, 376 gr, 29 mm
